Name,RAobs,Decobs,delta,z,S(6)_t,pmt,S(6)_p,pmp,f_c,logL,i,I,R,LD_cm,Lobs,L_1.4GHz,SFR (Msun/yr)
144414.66+063306.7,144414.67,63307.1,0.43,0.20800000000000002,255.0,16.0,255,16.0,1.000,22.47,16.552,-23.04,0.29,3.1601191296036316e+27,22.5051569542209,23.0050200585143,59.685944418727395
144510.13+304957.0,144510.122,304956.56,0.45,0.276,65.7,4.8,65.7,4.8,1.000,22.16,17.465999999999998,-22.74,0.18,4.3537058491286777e+27,22.1944934002104,22.7110051225738,30.328933175935504
144645.93+403505.7,144645.953,403505.84,0.3,0.267,622.0,19.3,622,19.3,1.000,23.1,16.034000000000002,-24.1,0.44,4.191658439624948e+27,23.137772021936396,23.652131902648602,264.840204338329
144930.49-004746.3,144930.488,-4746.37,0.08,0.253,1563.0,49.2,1563,49.2,1.000,23.45,17.378,-22.64,3.85,3.9420090408856174e+27,23.484604074014502,23.995586074004198,584.033939487435
145005.13+463521.3,145005.12900000002,463521.54,0.24,0.293,1192.0,41.0,1192,41.0,1.000,23.47,17.541,-22.79,3.41,4.663069036257395e+27,23.5128298098007,24.0333650275108,637.113839714998
145331.47+264946.7,145331.466,264947.07,0.37,0.27899999999999997,6053.0,247.4,6053,247.4,1.000,24.13,17.43,-22.8,15.63,4.407989818212642e+27,24.1696617033158,24.6868873347446,2869.0581221326397
145608.65+275008.7,145608.642,275008.62,0.13,0.248,159.0,12.9,159,12.9,1.000,22.44,17.044,-22.93,0.29,3.8535720450576186e+27,22.472333953978897,22.982100414015196,56.617726433459
145817.42+455514.9,145817.428,455514.72,0.2,0.28600000000000003,95.0,16.3,47.5,4.7,0.500,22.35,17.381,-22.9,0.23,4.5351697887192536e+27,22.390120571143303,22.9090054994488,47.8473082975568
145824.46+363119.5,145824.457,363119.49,0.04,0.24600000000000002,167.0,9.4,167,9.4,1.000,22.45,16.887,-23.07,0.26,3.8183047862888625e+27,22.485667518916397,22.994946398836397,58.317434530473
150204.10+064516.0,150204.11800000002,64516.07,0.28,0.28800000000000003,50.8,5.9,50.8,5.9,1.000,22.09,16.772000000000002,-23.52,0.07,4.5716393071908787e+27,22.125217492597603,22.644574847008,26.02716460098
151132.53+100953.1,151132.535,100953.02,0.11,0.282,3052.0,93.7,3052,93.7,1.000,23.84,17.252,-23.0,6.69,4.46240704566743e+27,23.8829327585598,24.4008706264815,1484.98695346871
151351.50+262358.1,151351.497,262358.14,0.06,0.203,5039.0,151.6,5039,151.6,1.000,23.75,16.53,-23.01,5.68,3.0752288589370003e+27,23.777309105511303,24.275911294943,1113.68740103391
151936.14+283827.6,151936.15,283827.69,0.16,0.26899999999999996,576.0,22.2,576,22.2,1.000,23.07,16.993,-23.16,0.99,4.22756425936187e+27,23.111812782716605,23.6266521684767,249.749242760121
152153.80+594020.0,152153.829,594020.26,0.34,0.28600000000000003,42.9,8.8,42.9,8.8,1.000,22.01,17.679000000000006,-22.6,0.14,4.5351697887192536e+27,22.044854258039198,22.5637391863447,21.606837115424298
152428.67+303237.5,152428.68099999998,303237.98,0.5,0.27399999999999997,63.3,11.2,63.3,11.2,1.000,22.13,16.618,-23.57,0.08,4.3175908127251993e+27,22.171096535910802,22.6871313858041,28.7067083764641
152624.02+275452.1,152624.064,275451.98,0.6,0.231,30.4,7.1,30.4,7.1,1.000,21.65,16.213,-23.61,0.03,3.555776767813264e+27,21.683952423796395,22.189549311142105,9.1285399971885
152727.38+154100.1,152727.458,154100.19,1.13,0.228,73.4,11.2,73.4,11.2,1.000,22.02,16.607,-23.18,0.09,3.5036931213046624e+27,22.053958044980195,22.5588131520376,21.3631437925804
152757.67+223304.0,152757.65,223304.31,0.42,0.254,132000.0,3960.8,49700,1492.0,0.377,24.13,16.546,-23.48,151.0,3.959742378097726e+27,25.415117658286,25.9263421841261,49795.9699019341
152925.98+021646.6,152925.995,21646.15,0.5,0.263,152.0,11.0,152,11.0,1.000,22.47,17.49,-22.61,0.41,4.1200272725895305e+27,22.510853633691397,23.0242522293739,62.3884564662391
153415.05+465819.2,153415.093,465818.98,0.5,0.282,66.2,5.5,66.2,5.5,1.000,22.18,17.5,-22.75,0.18,4.46240704566743e+27,22.219206218716696,22.7371440866384,32.2103985319915
153539.25+564406.5,153539.198,564406.18,0.54,0.207,126.0,15.5,126,15.5,1.000,22.16,16.672,-22.91,0.16,3.143108699764595e+27,22.1942992105586,22.693910549920503,29.1583242780474
153941.49+504255.7,153941.501,504255.8,0.15,0.203,61.9,5.5,61.9,5.5,1.000,21.83,16.725,-22.81,0.08,3.0752288589370003e+27,21.866655396175602,22.3652575856073,13.6807402508417
154307.77+193751.7,154307.759,193751.56,0.21,0.22899999999999998,716.0,26.2,716,26.2,1.000,23.01,16.518,-23.28,0.8,3.5210386006059455e+27,23.0474644587301,23.552567027044397,210.580929676865
154430.52+282756.8,154430.54,282757.41,0.67,0.231,46.0,10.1,46,10.1,1.000,21.82,16.285,-23.53,0.04,3.555776767813264e+27,21.863836671869198,22.369433559214894,13.8129223641662
154743.53+205216.6,154743.52,205216.59,0.14,0.265,700000.0,21289.7,51414,1555.3,0.073,26.14,15.512,-24.6,308.96,4.155812728013025e+27,26.1816198417571,26.6954994599092,292651.983219922
155620.23+521520.0,155620.217,521520.2,0.23,0.22699999999999998,296.0,21.9,296,21.9,1.000,22.62,16.87,-22.91,0.46,3.4863634037634187e+27,22.655246883384798,23.1598543275875,85.2523460692859
160507.92+483422.1,160507.913,483422.62,0.52,0.295,79.9,6.3,79.9,6.3,1.000,22.31,16.775,-23.57,0.11,4.6997429219066544e+27,22.345904848292196,22.8669099364781,43.42721192987229
161217.97+073145.4,161217.971,73145.49,0.09,0.207,1645.0,66.8,1645,66.8,1.000,23.28,16.92,-22.66,2.66,3.143108699764595e+27,23.310094567727,23.8097059070889,380.678122518927
161649.37-004250.4,161649.38,-4250.35,0.16,0.23800000000000002,1431.0,60.8,1431,60.8,1.000,23.35,16.454,-23.43,1.5,3.677854035646772e+27,23.3860384762586,23.8933591778313,461.54195942287004
161711.42+063833.4,161711.424,63833.19,0.22,0.22899999999999998,266.0,11.3,266,11.3,1.000,22.58,16.627,-23.17,0.33,3.5210386006059455e+27,22.617433073053302,23.1225356413676,78.23258001961571
161723.67+085414.7,161723.674,85414.72,0.06,0.20600000000000002,381.0,15.2,381,15.2,1.000,22.64,16.255,-23.31,0.33,3.12611443822801e+27,22.670144584236997,23.1695039499937,87.1677752182357
161911.24+501109.2,161911.253,501109.58,0.4,0.23399999999999999,41.7,4.7,41.7,4.7,1.000,21.8,16.991,-22.86,0.07,3.608001753056804e+27,21.833879398765998,22.340216260847807,12.914222733936699
161940.56+254323.0,161940.561,254323.1,0.1,0.26899999999999996,474.0,21.4,474,21.4,1.000,22.99,16.644000000000002,-23.5,0.59,4.22756425936187e+27,23.0271686409675,23.5420080267276,205.522814354697
162607.24+335915.3,162607.053,335916.1,2.48,0.205,1179.0,38.4,1179,38.4,1.000,23.12,16.042,-23.52,0.85,3.1091363645361137e+27,23.1560032097406,23.655110392872,266.66278130789
162750.54+473623.5,162750.571,473623.38,0.34,0.262,299.0,23.8,299,23.8,1.000,22.76,17.218,-22.87,0.64,4.102157187297949e+27,22.8009056478184,23.314063446547895,121.594927519142
163051.74+471118.9,163051.738,471118.82,0.08,0.27,64.1,5.4,64.1,5.4,1.000,22.12,16.91,-23.25,0.1,4.245539663587276e+27,22.1619336987298,22.677012553692798,28.045589003187494
163111.28+404805.2,163111.292,404805.0,0.24,0.258,49.7,5.0,49.7,5.0,1.000,21.97,17.094,-22.96,0.09,4.030828229150262e+27,22.006354835555396,22.518547534625696,19.471506155538002
163124.42+295301.5,163124.435,295301.46,0.2,0.254,125.0,7.9,125,7.9,1.000,22.35,16.707,-23.32,0.17,3.959742378097726e+27,22.3914537400882,22.9026782659283,47.15527452834621
170302.88+191034.0,170302.978,191034.23,1.41,0.29,21.2,7.1,21.2,7.1,1.000,21.71,17.203,-23.11,0.04,4.608167396917781e+27,21.752602218835502,22.272431266338806,11.0479901401272
171013.42+334402.5,171013.41199999998,334402.69,0.22,0.20800000000000002,1237.0,41.2,1237,41.2,1.000,23.16,15.69,-23.9,0.64,3.1601191296036316e+27,23.1909864734161,23.6908495777095,289.53534606263304
172711.80+632242.1,172711.837,632241.72,0.46,0.217,728.0,27.1,728,27.1,1.000,22.97,16.73,-22.95,0.99,3.313937355443356e+27,23.0020298324056,23.5041494874604,188.365559150199
